id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
FOXG_17838	2,73946708	3,341766761	2,137167399	0,639532185	-0,644911129	0,79040177	1
FOXG_16850	20,06116435	3,345448134	36,77688056	10,99311037	3,458527732	0,005010648	0,05364686
FOXG_21847	22,59044847	3,345448134	41,8354488	12,50518529	3,64445453	0,00625384	0,063723334
FOXG_01366	2,799356579	3,345448134	2,253265024	0,673531597	-0,570182467	0,737894653	1
FOXG_18783	2,837641302	3,345448134	2,32983447	0,696419247	-0,52197202	0,862072632	1
FOXG_18777	3,317338488	3,345448134	3,289228843	0,983195288	-0,024450093	1	1
FOXG_19783	2,801922649	3,350580273	2,253265024	0,672499937	-0,572393962	0,737656692	1
FOXG_09647	882,1165329	3,355712413	1760,877353	524,7402449	9,035459631	2,22E-10	3,39E-08
FOXG_10728	160,6397781	3,355712413	317,9238439	94,74108765	6,565918329	4,39E-07	2,30E-05
FOXG_09894	9,531183507	3,355712413	15,7066546	4,68057231	2,226684944	0,103269523	0,47560856
FOXG_18069	3,901715298	3,355712413	4,447718182	1,325416971	0,406446297	0,847836525	1
FOXG_18209	3,210096173	3,356730858	3,063461488	0,912632444	-0,131894152	1	1
FOXG_09672	32,0128101	3,358181625	60,66743857	18,06556207	4,175170236	0,000497649	0,008373525
FOXG_18820	4,037568162	3,358181625	4,716954699	1,40461572	0,490175486	0,648855961	1
FOXG_12376	30,28824646	3,361862998	57,21462993	17,0187274	4,089051257	0,000716191	0,011054699
FOXG_00346	5,308330971	3,361862998	7,254798944	2,157969837	1,109674699	0,503300768	1
FOXG_08691	4,153055579	3,361862998	4,944248161	1,470686986	0,556490223	0,861562208	1
FOXG_03451	69,87424457	3,366995138	136,381494	40,50540272	5,340042446	2,03E-05	0,000627954
FOXG_00821	2,929441654	3,366995138	2,49188817	0,740092595	-0,434222313	0,72622193	1
FOXG_13172	19,79393772	3,372127277	36,21574815	10,73973346	3,424886284	0,007349768	0,072577979
FOXG_10368	1,840445987	3,372127277	0,308764696	0,091563773	-3,449079279	0,249875952	0,784012422
FOXG_06031	7,241884849	3,374596489	11,10917321	3,292000465	1,718964539	0,173999032	0,650041261
FOXG_04033	9,118847366	3,378277862	14,85941687	4,398518262	2,137017602	0,152676736	0,600920443
FOXG_17282	4,405551	3,378277862	5,432824137	1,608163792	0,685414353	0,713691994	1
FOXG_04592	27,64246546	3,383410002	51,90152093	15,3400034	3,939226897	0,001248766	0,017548841
FOXG_20585	1,846087349	3,383410002	0,308764696	0,091258433	-3,453898302	0,249254447	0,782867546
FOXG_06652	4,658832953	3,383410002	5,934255905	1,753927517	0,810589128	0,591712039	1
FOXG_17484	5,353388715	3,394692726	7,312084704	2,153975424	1,107001789	0,457082963	0,985177682
FOXG_06508	5,054265862	3,394692726	6,713838997	1,977745716	0,983856947	0,547994013	1
FOXG_09125	469,8287864	3,399824866	936,2577479	275,3841109	8,105301511	4,43E-09	4,50E-07
FOXG_13431	4,966926292	3,399824866	6,534027717	1,921871854	0,942512144	0,602728573	1
FOXG_19238	4,323204914	3,399824866	5,246584962	1,543192714	0,625918237	0,786251486	1
FOXG_18550	2,649909943	3,401275632	1,898544253	0,558185945	-0,841182297	0,798695498	1
FOXG_11714	14,83746154	3,404957005	26,26996607	7,715212272	2,947705851	0,022197891	0,16723626
